report_id,year,week,county,sub_county,disease,unimproved_sanitation_rate,avg_rainfall,mean_ndvi,avg_temp,cases,outbreak
1,2023,2022-12-26/2023-01-01,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.0,0.24836885377213191,19.012301982331984,0.0,0
2,2023,2023-01-02/2023-01-08,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,3.4504038382302276,0.22219024819099495,19.86835785160414,112.0,1
3,2023,2023-01-09/2023-01-15,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,1.2179361004044094,0.19185576330437154,20.198615808589604,2073.0,1
4,2023,2023-01-16/2023-01-22,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.0,0.15903237902881764,19.959867552140174,24939.0,1
5,2023,2023-01-23/2023-01-29,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.0,0.14508669441766764,20.00485547258586,196913.0,1
6,2023,2023-01-30/2023-02-05,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.49600923016959164,0.12218573206466697,20.54466619984935,348067.0,1
7,2023,2023-02-06/2023-02-12,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.8884601712068917,0.10885430219926773,20.784467285408365,70059.0,1
8,2023,2023-02-13/2023-02-19,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.0,0.11495554379506355,21.241138457574806,9045.0,1
9,2023,2023-02-20/2023-02-26,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.0,0.09475420596844597,21.689355574385445,2277.0,1
10,2023,2023-02-27/2023-03-05,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,1.122790270556603,0.10818525340035304,22.13839496381257,735.0,1
11,2023,2023-03-06/2023-03-12,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,1.1142191807463047,0.10959378753911844,22.861378568082312,259.0,1
12,2023,2023-03-13/2023-03-19,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.0,0.10754064023052691,23.52749252820177,91.0,0
13,2023,2023-03-20/2023-03-26,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,4.179032177838974,0.11653556775318076,24.149893249301293,22.0,0
14,2023,2023-03-27/2023-04-02,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,5.330888605832241,0.13696522314841136,24.49127747148263,22.0,0
15,2023,2023-04-03/2023-04-09,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.0,0.13491532916788276,25.486014009420444,8.0,0
16,2023,2023-04-10/2023-04-16,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,1.8546271591575223,0.17277454369422193,25.98597191988938,3.0,0
17,2023,2023-04-17/2023-04-23,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,7.566881780078055,0.19089125661343487,27.050561998062864,0.0,0
18,2023,2023-04-24/2023-04-30,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,1.9556428526578458,0.22017039730163662,27.341366464893493,0.0,0
19,2023,2023-05-01/2023-05-07,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,2.942242987220965,0.25012421026605397,28.011010858415933,0.0,0
20,2023,2023-05-08/2023-05-14,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.715241999988585,0.2863633326009924,29.059095380461176,0.0,0
21,2023,2023-05-15/2023-05-21,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,2.265598379680383,0.3111652552954096,29.628954843835004,0.0,0
22,2023,2023-05-22/2023-05-28,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,1.4035121041404452,0.3454935628532662,30.10185676996509,0.0,0
23,2023,2023-05-29/2023-06-04,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,1.897188815368706,0.3783462105398944,30.607378793823337,0.0,0
24,2023,2023-06-05/2023-06-11,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,3.780071328375924,0.42178236026968274,30.858592544853895,0.0,0
25,2023,2023-06-12/2023-06-18,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,1.9962506209789264,0.4563051994787605,31.72197848026861,0.0,0
26,2023,2023-06-19/2023-06-25,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,1.4367937406051234,0.464704743971082,31.243914869207508,0.0,0
27,2023,2023-06-26/2023-07-02,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,1.6096355947994716,0.4975443028817614,31.89868287316572,0.0,0
28,2023,2023-07-03/2023-07-09,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,5.040797714146606,0.5384260784260313,31.9282349950556,0.0,0
29,2023,2023-07-10/2023-07-16,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,5.846454680508422,0.5600981826904895,32.15023436002476,0.0,0
30,2023,2023-07-17/2023-07-23,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,1.8663402258346695,0.5936157762396574,31.80819983268288,0.0,0
31,2023,2023-07-24/2023-07-30,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.5255442897997333,0.5934893047386941,31.770722598826847,0.0,0
32,2023,2023-07-31/2023-08-06,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,3.1219323704863036,0.6300494010636125,31.786166026068354,0.0,0
33,2023,2023-08-07/2023-08-13,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,1.453154067531477,0.6391584833026248,31.09409316268252,0.0,0
34,2023,2023-08-14/2023-08-20,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.9568395330752182,0.641030004585222,30.72292423348364,0.0,0
35,2023,2023-08-21/2023-08-27,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,1.5246386680662067,0.6544566386277867,30.402288014316955,0.0,0
36,2023,2023-08-28/2023-09-03,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,5.009011555742709,0.645585384404972,29.6267949224765,0.0,0
37,2023,2023-09-04/2023-09-10,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,4.535997932497792,0.6483980201360314,29.464404020432646,0.0,0
38,2023,2023-09-11/2023-09-17,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.7973488835197374,0.6550006518173397,28.609619250605615,0.0,0
39,2023,2023-09-18/2023-09-24,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.3705242165053856,0.6178571945881616,27.859654698184816,0.0,0
40,2023,2023-09-25/2023-10-01,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,4.108499746131165,0.612192464272897,27.36906738762338,0.0,0
41,2023,2023-10-02/2023-10-08,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.7079873677983467,0.5908068064959241,26.457851106352706,0.0,0
42,2023,2023-10-09/2023-10-15,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.6910005674615326,0.5862395022748407,25.853356824512314,0.0,0
43,2023,2023-10-16/2023-10-22,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,4.478810945865493,0.5459123567769659,24.806571013275857,0.0,0
44,2023,2023-10-23/2023-10-29,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.1458044502860784,0.5250003714917145,24.351093645440358,0.0,0
45,2023,2023-10-30/2023-11-05,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,1.216142445941751,0.4899686924853071,23.681075930758027,0.0,0
46,2023,2023-11-06/2023-11-12,Baringo,Baringo_Sub1,Cholera,0.4202850247226563,0.0,0.46214341050501034,23.275557225644153,0.0,0
